Grid #,Fuel $,TL ,LTL
196,3.12,0.262495,0.22312075
197,3.13,0.263328,0.2238288
198,3.14,0.264161,0.22453685
199,3.15,0.264994,0.2252449
200,3.16,0.265827,0.22595295
201,3.17,0.26666,0.226661
202,3.18,0.267493,0.22736905
203,3.19,0.268326,0.2280771
204,3.2,0.269159,0.22878515
205,3.21,0.269992,0.2294932
206,3.22,0.270825,0.23020125
207,3.23,0.271658,0.2309093
208,3.24,0.272491,0.23161735
209,3.25,0.273324,0.2323254
210,3.26,0.274157,0.23303345
211,3.27,0.27499,0.2337415
212,3.28,0.275823,0.23444955
213,3.29,0.276656,0.2351576
214,3.3,0.277489,0.23586565
215,3.31,0.278322,0.2365737
216,3.32,0.279155,0.23728175
217,3.33,0.279988,0.2379898
218,3.34,0.280821,0.23869785
219,3.35,0.281654,0.2394059
220,3.36,0.282487,0.24011395
221,3.37,0.28332,0.240822
222,3.38,0.284153,0.24153005
223,3.39,0.284986,0.2422381
224,3.4,0.285819,0.24294615
225,3.41,0.286652,0.2436542
226,3.42,0.287485,0.24436225
227,3.43,0.288318,0.2450703
228,3.44,0.289151,0.24577835
229,3.45,0.289984,0.2464864
230,3.46,0.290817,0.24719445
231,3.47,0.29165,0.2479025
232,3.48,0.292483,0.24861055
233,3.49,0.293316,0.2493186
234,3.5,0.294149,0.25002665
235,3.51,0.294982,0.2507347
236,3.52,0.295815,0.25144275
237,3.53,0.296648,0.2521508
238,3.54,0.297481,0.25285885
239,3.55,0.298314,0.2535669
240,3.56,0.299147,0.25427495
241,3.57,0.29998,0.254983
242,3.58,0.300813,0.25569105
243,3.59,0.301646,0.2563991
244,3.6,0.302479,0.25710715
245,3.61,0.303312,0.2578152
246,3.62,0.304145,0.25852325
247,3.63,0.304978,0.2592313
248,3.64,0.305811,0.25993935
249,3.65,0.306644,0.2606474
250,3.66,0.307477,0.26135545
251,3.67,0.30831,0.2620635
252,3.68,0.309143,0.26277155
253,3.69,0.309976,0.2634796
254,3.7,0.310809,0.26418765
255,3.71,0.311642,0.2648957
256,3.72,0.312475,0.26560375
257,3.73,0.313308,0.2663118
258,3.74,0.314141,0.26701985
259,3.75,0.314974,0.2677279
260,3.76,0.315807,0.26843595
261,3.77,0.31664,0.269144
262,3.78,0.317473,0.26985205
263,3.79,0.318306,0.2705601
264,3.8,0.319139,0.27126815
265,3.81,0.319972,0.2719762
266,3.82,0.320805,0.27268425
267,3.83,0.321638,0.2733923
268,3.84,0.322471,0.27410035
269,3.85,0.323304,0.2748084
270,3.86,0.324137,0.27551645
271,3.87,0.32497,0.2762245
272,3.88,0.325803,0.27693255
273,3.89,0.326636,0.2776406
274,3.9,0.327469,0.27834865
275,3.91,0.328302,0.2790567
276,3.92,0.329135,0.27976475
277,3.93,0.329968,0.2804728
278,3.94,0.330801,0.28118085
279,3.95,0.331634,0.2818889
280,3.96,0.332467,0.28259695
281,3.97,0.3333,0.283305
282,3.98,0.334133,0.28401305
283,3.99,0.334966,0.2847211
284,4,0.335799,0.28542915
285,4.01,0.336632,0.2861372
286,4.02,0.337465,0.28684525
287,4.03,0.338298,0.2875533
288,4.04,0.339131,0.28826135
289,4.05,0.339964,0.2889694
290,4.06,0.340797,0.28967745
291,4.07,0.34163,0.2903855
292,4.08,0.342463,0.29109355
293,4.09,0.343296,0.2918016
294,4.1,0.344129,0.29250965
295,4.11,0.344962,0.2932177
296,4.12,0.345795,0.29392575
297,4.13,0.346628,0.2946338
298,4.14,0.347461,0.29534185
299,4.15,0.348294,0.2960499
300,4.16,0.349127,0.29675795
301,4.17,0.34996,0.297466
302,4.18,0.350793,0.29817405
303,4.19,0.351626,0.2988821
304,4.2,0.352459,0.29959015
305,4.21,0.353292,0.3002982
306,4.22,0.354125,0.30100625
307,4.23,0.354958,0.3017143
308,4.24,0.355791,0.30242235
309,4.25,0.356624,0.3031304
310,4.26,0.357457,0.30383845
311,4.27,0.35829,0.3045465
312,4.28,0.359123,0.30525455
313,4.29,0.359956,0.3059626
314,4.3,0.360789,0.30667065
315,4.31,0.361622,0.3073787
316,4.32,0.362455,0.30808675
317,4.33,0.363288,0.3087948
318,4.34,0.364121,0.30950285
319,4.35,0.364954,0.3102109
320,4.36,0.365787,0.31091895
321,4.37,0.36662,0.311627
322,4.38,0.367453,0.31233505
323,4.39,0.368286,0.3130431
324,4.4,0.369119,0.31375115
325,4.41,0.369952,0.3144592
326,4.42,0.370785,0.31516725
327,4.43,0.371618,0.3158753
328,4.44,0.372451,0.31658335
329,4.45,0.373284,0.3172914
330,4.46,0.374117,0.31799945
331,4.47,0.37495,0.3187075
332,4.48,0.375783,0.31941555
333,4.49,0.376616,0.3201236
334,4.5,0.377449,0.32083165
335,4.51,0.378282,0.3215397
336,4.52,0.379115,0.32224775
337,4.53,0.379948,0.3229558
338,4.54,0.380781,0.32366385
339,4.55,0.381614,0.3243719
340,4.56,0.382447,0.32507995
341,4.57,0.38328,0.325788
342,4.58,0.384113,0.32649605
343,4.59,0.384946,0.3272041
344,4.6,0.385779,0.32791215
345,4.61,0.386612,0.3286202
346,4.62,0.387445,0.32932825
347,4.63,0.388278,0.3300363
348,4.64,0.389111,0.33074435
349,4.65,0.389944,0.3314524
350,4.66,0.390777,0.33216045
351,4.67,0.39161,0.3328685
352,4.68,0.392443,0.33357655
353,4.69,0.393276,0.3342846
354,4.7,0.394109,0.33499265
355,4.71,0.394942,0.3357007
356,4.72,0.395775,0.33640875
357,4.73,0.396608,0.3371168
358,4.74,0.397441,0.33782485
359,4.75,0.398274,0.3385329
360,4.76,0.399107,0.33924095
361,4.77,0.39994,0.339949
362,4.78,0.400773,0.34065705
363,4.79,0.401606,0.3413651
364,4.8,0.402439,0.34207315
365,4.81,0.403272,0.3427812
366,4.82,0.404105,0.34348925
367,4.83,0.404938,0.3441973
368,4.84,0.405771,0.34490535
369,4.85,0.406604,0.3456134
370,4.86,0.407437,0.34632145
371,4.87,0.40827,0.3470295
372,4.88,0.409103,0.34773755
373,4.89,0.409936,0.3484456
374,4.9,0.410769,0.34915365
375,4.91,0.411602,0.3498617
376,4.92,0.412435,0.35056975
377,4.93,0.413268,0.3512778
378,4.94,0.414101,0.35198585
379,4.95,0.414934,0.3526939
380,4.96,0.415767,0.35340195
381,4.97,0.4166,0.35411
382,4.98,0.417433,0.35481805
383,4.99,0.418266,0.3555261
384,5,0.419099,0.35623415
385,5.01,0.419932,0.3569422
386,5.02,0.420765,0.35765025
387,5.03,0.421598,0.3583583
388,5.04,0.422431,0.35906635
389,5.05,0.423264,0.3597744
390,5.06,0.424097,0.36048245
